0,1,2,3,4,5
Date,Tweet,Sentiment Score,Calculation,Possitive Word(s),Negative Word(s)
Tue Jun 23 21:16:04 +0000 2020,@ParZevil The Hurricane,0,[],,[]
Tue Jun 23 21:16:00 +0000 2020,ABC News 4 chief meteorologist Dave Williams recently spoke with @QuintinOnCamera about hurricane season… https://t.co/3xbfZvb8e9,0,[],,[]
Tue Jun 23 21:15:56 +0000 2020,Rock you like a hurricane,2,"[{""like"":2}]",,[]
Tue Jun 23 21:15:55 +0000 2020,"RT @weatherchannel: Tropical Storm #Dolly will be a short-lived tropical storm and is no threat to the U.S., latest info here: https://t.co…",-3,"[{""threat"":-2},{""no"":-1}]",,"[""threat"",""no""]"
Tue Jun 23 21:15:49 +0000 2020,"RT @breakingweather: Tropical Storm #Dolly developed earlier today, becoming just the 3rd D-named storm to develop in June: https://t.co/0s…",0,[],,[]
Tue Jun 23 21:15:46 +0000 2020,"After a pandemic ends or a hurricane leaves, it's normal to be left with a lot of different feelings. But, if those… https://t.co/pvPmnYB2oP",0,[],,[]
Tue Jun 23 21:15:36 +0000 2020,"Three research institutions predict  imminent COVID disaster in Florida. Meanwhile, hurricane season gets going and… https://t.co/VxKf90Xq0K",-2,"[{""disaster"":-2}]",,"[""disaster""]"
Tue Jun 23 21:15:23 +0000 2020,RT @JudicialWatch: Judicial Watch announced that it received the “electronic communication” (EC) that officially launched the counterintell…,1,"[{""launched"":1}]",,[]
Tue Jun 23 21:15:20 +0000 2020,"RT @breakingweather: Tropical Storm #Dolly developed earlier today, becoming just the 3rd D-named storm to develop in June: https://t.co/0s…",0,[],,[]
Tue Jun 23 21:15:14 +0000 2020,RT @philklotzbach: #Dolly has now tracked north of 40°N - the first June Atlantic named storm to track north of 40°N since #Hurricane Chris…,0,[],,[]
Tue Jun 23 21:15:09 +0000 2020,"RT @breakingweather: Tropical Storm #Dolly developed earlier today, becoming just the 3rd D-named storm to develop in June: https://t.co/0s…",0,[],,[]
Tue Jun 23 21:14:54 +0000 2020,"RT @real__ceo: NEW ITEM !! 🥤
Mojito ice pops out now ⛷
Frozen hurricane &amp; Sweet one (strawbs) https://t.co/H7g1MUTRw1",2,"[{""sweet"":2}]",,[]
Tue Jun 23 21:14:52 +0000 2020,"Repost from @rothkochapel
•
Did you know that Puerto Rico is still in recovery after Hurricane María in 2017?… https://t.co/xrhPQ5gRjt",0,[],,[]
Tue Jun 23 21:14:48 +0000 2020,"RT @weatherchannel: Tropical Storm #Dolly will be a short-lived tropical storm and is no threat to the U.S., latest info here: https://t.co…",-3,"[{""threat"":-2},{""no"":-1}]",,"[""threat"",""no""]"
Tue Jun 23 21:14:44 +0000 2020,The same one he used to draw on his hurricane map? https://t.co/SXOCL30feE,0,[],,[]
Tue Jun 23 21:14:33 +0000 2020,@DagogetaTv Staring comin through like a hurricane kicking shots,2,"[{""like"":2}]",,[]
Tue Jun 23 21:14:30 +0000 2020,"RT @NASAGoddard: “A massive coil of clouds.” ☁️ 🌀 
 
In the last 120 years, hurricane forecasting has dramatically, improved thanks to adva…",4,"[{""thanks"":2},{""improved"":2}]",,[]
Tue Jun 23 21:14:23 +0000 2020,@midlifewomanon1 @Keywestofficial I lived in KW for 9 years and owned a coffee shop there for 5 years. I left after… https://t.co/KhoJeS2Qr8,0,[],,[]
Tue Jun 23 21:14:14 +0000 2020,"RT @breakingweather: Tropical Storm #Dolly developed earlier today, becoming just the 3rd D-named storm to develop in June: https://t.co/0s…",0,[],,[]
Tue Jun 23 21:14:08 +0000 2020,RT @philklotzbach: #Dolly has now tracked north of 40°N - the first June Atlantic named storm to track north of 40°N since #Hurricane Chris…,0,[],,[]
Tue Jun 23 21:14:02 +0000 2020,"RT @breakingweather: Tropical Storm #Dolly developed earlier today, becoming just the 3rd D-named storm to develop in June: https://t.co/0s…",0,[],,[]
Tue Jun 23 21:14:01 +0000 2020,"Hurricane Chris Posts $500K Bond, Out Of Jail https://t.co/pi0CrpFE5v",0,[],,[]
Tue Jun 23 21:13:51 +0000 2020,"Hello, Dolly! (Yes, I've been waiting for this moment since hurricane season began. No shame.) 😁 https://t.co/oRh0TgxpCb",0,"[{""😁"":2},{""shame"":-2},{""no"":-1},{""yes"":1}]",,"[""shame"",""no""]"
Tue Jun 23 21:13:50 +0000 2020,@TankieSanders Here comes the story of the hurricane,0,[],,[]
